CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
IBARRA,2014,AGOSTO, 4.552 , 515 , 1.620 , 0   , 664 , 16 , 46 , 7.413 , 3.655 , 26.264 , 1.307 , 2.880 , 8.247 , 46.734 
IBARRA,2014,SEPTIEMBRE, 4.204 , 556 , 1.632 , 0   , 602 , 9 , 55 , 7.058 , 3.605 , 21.965 , 6.198 , 11.343 , 7.593 , 39.102 
IBARRA,2014,OCTUBRE, 4.342 , 649 , 1.650 , 0   , 290 , 18 , 29 , 6.978 , 3.520 , 22.901 , 11.291 , 22.593 , 7.430 , 39.558 
IBARRA,2014,NOVIEMBRE, 4.685 , 632 , 1.521 , 0   , 161 , 6 , 54 , 7.059 , 3.432 , 22.701 , 11.539 , 22.417 , 7.715 , 40.670 
IBARRA,2014,DICIEMBRE, 5.000 , 705 , 1.635 , 0   , 177 , 3 , 53 , 7.573 , 3.896 , 24.227 , 12.434 , 23.783 , 8.229 , 43.909  
IBARRA,2015,ENERO, 4.522 , 620 , 1.652 , 0   , 233 , 1 , 46 , 7.074 , 3.897 , 23.293 , 11.974 , 23.098 , 7.696 , 41.376 
IBARRA,2015,FEBRERO, 4.493 , 612 , 1.776 , 0   , 160 , 7 , 44 , 7.092 , 4.079 , 22.765 , 11.401 , 22.434 , 7.719 , 40.153 
IBARRA,2015,MARZO, 4.586 , 634 , 1.986 , 0   , 223 , 3 , 80 , 7.512 , 4.404 , 23.581 , 12.081 , 23.372 , 8.131 , 43.463 
IBARRA,2015,ABRIL, 4.535 , 639 , 1.862 , 0   , 202 , 16 , 29 , 7.283 , 4.306 , 23.373 ,,, 7.843 , 48.075 
IBARRA,2015,MAYO, 4.985 , 770 , 1.908 , 0   , 307 , 6 , 19 , 7.995 , 4.789 , 25.303 ,,, 8.520 , 47.556 
IBARRA,2015,JUNIO, 4.452 , 766 , 1.829 , 0   , 376 , 8 , 10 , 7.441 , 4.435 , 23.000 ,,, 7.946 , 43.670 
IBARRA,2015,JULIO, 4.293 , 705 , 1.661 ,, 450 , 5 , 29 , 7.143 , 4.352 , 24.942 ,,, 7.143 , 46.385 
IBARRA,2015,AGOSTO, 4.739 , 719 , 1.720 , 0   , 801 , 11 , 44 , 8.034 , 4.958 , 24.893 ,,, 8.742 , 50.096 
